Date,Open,High,Low,Close,Adj Close,Volume
2022-05-01,82.0,82.0,79.0,80.0,80.0,22100.0
2022-05-02,82.0,82.0,79.0,80.0,80.0,22100.0
2022-05-03,82.0,82.0,79.0,80.0,80.0,22100.0
2022-05-04,82.0,82.0,79.0,80.0,80.0,22100.0
2022-05-05,82.0,82.0,79.0,80.0,80.0,22100.0
2022-05-06,82.0,82.0,79.0,80.0,80.0,22100.0
2022-05-07,82.0,82.0,79.0,80.0,80.0,22100.0
2022-05-08,82.0,82.0,79.0,80.0,80.0,22100.0
2022-05-09,80.0,84.0,79.0,80.0,80.0,136900.0
2022-05-10,80.0,82.0,75.0,79.0,79.0,147300.0
2022-05-11,79.0,82.0,76.0,80.0,80.0,148800.0
2022-05-12,80.0,80.0,77.0,78.0,78.0,44700.0
2022-05-13,79.0,81.0,77.0,79.0,79.0,107900.0
2022-05-14,79.0,81.0,77.0,79.0,79.0,107900.0
2022-05-15,79.0,81.0,77.0,79.0,79.0,107900.0
2022-05-16,79.0,81.0,77.0,79.0,79.0,107900.0
2022-05-17,75.0,80.0,75.0,78.0,78.0,125700.0
2022-05-18,78.0,78.0,77.0,78.0,78.0,63700.0
2022-05-19,78.0,78.0,77.0,78.0,78.0,26000.0
2022-05-20,77.0,78.0,76.0,76.0,76.0,136200.0
2022-05-21,77.0,78.0,76.0,76.0,76.0,136200.0
2022-05-22,77.0,78.0,76.0,76.0,76.0,136200.0
2022-05-23,76.0,76.0,73.0,75.0,75.0,84800.0
2022-05-24,74.0,78.0,74.0,78.0,78.0,46100.0
2022-05-25,78.0,78.0,75.0,77.0,77.0,62800.0
2022-05-26,78.0,78.0,75.0,77.0,77.0,62800.0
2022-05-27,77.0,81.0,76.0,81.0,81.0,163400.0
2022-05-28,77.0,81.0,76.0,81.0,81.0,163400.0
2022-05-29,77.0,81.0,76.0,81.0,81.0,163400.0
2022-05-30,80.0,80.0,77.0,79.0,79.0,33100.0
2022-05-31,79.0,81.0,78.0,78.0,78.0,51900.0
2022-06-01,79.0,81.0,78.0,78.0,78.0,51900.0
2022-06-02,77.0,79.0,77.0,77.0,77.0,18400.0
2022-06-03,77.0,77.0,75.0,76.0,76.0,14800.0
2022-06-04,77.0,77.0,75.0,76.0,76.0,14800.0
2022-06-05,77.0,77.0,75.0,76.0,76.0,14800.0
